Accession,Submitters,Release_Date,Isolate,Species,Molecule_type,Length,Geo_Location,USA,Host,Isolation_Source,Collection_Date
NC_055904,"Shkoporov,A.N., Stockdale,S.R., Guerin,E., Ross,R.P., Hill,C.",2021-06-02T00:00:00Z,,crAssphage cr273_1,dsDNA,97886,Ireland,,,feces,2015
NC_055905,"Greguske,E.",2021-06-02T00:00:00Z,,Bacillus phage Baseball_field,dsDNA,26863,USA,,Bacillus thuringiensis serovar kurstaki,,2015-10-01
NC_055906,"Sabirova,J.S., Letzel,S., Boedecker,C., Musken,M., Knierim,D., Kiljunen,S., Rhode,C., Wittmann,J.",2021-06-02T00:00:00Z,,Staphylococcus phage vB_SauP_EBHT,dsDNA,17471,Germany,,Staphylococcus aureus,,
NC_055907,"Canfield,G.S., Duerkop,B.A.",2021-06-02T00:00:00Z,,Enterococcus phage 9183,dsDNA,86301,"USA: Denver, CO",CO,Enterococcus,,2018
NC_055908,"Li,C., Ding,Y., Wu,Q.",2021-06-02T00:00:00Z,,Bacillus phage DLc1,dsDNA,28950,China,,Bacillus cereus,,
NC_055909,"Wienberg,J., Greenwald,C., Quisar,M., Schmidt,R., Edgar,R.-M., McLean,J., Galen,K., Rosenstock,H., Mangione,S., Singelton,D., Kiesel,J., Silver-Beck,N., Perez,N., Kovalsji,J.M., Zack,K.M., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage Plumbus,dsDNA,54468,"USA: Olympis, Washington",WA,Mycolicibacterium smegmatis,,2016-10-01
NC_055910,"Rakov,C., Alkalay-Oren,S., Coppenhagen-Glazer,S., Hazan,R.",2021-06-02T00:00:00Z,,Providencia phage PSTCR5,dsDNA,109434,Israel,,Providencia stuartii,,
NC_055911,"Muangsombut,V., Janesomboon,S., Withatanung,P., Dunne,M., Korbsrisate,S.",2021-06-02T00:00:00Z,,Burkholderia phage phiE094,dsDNA,37727,Thailand,,Burkholderia thailandensis,,2016-04-14
NC_055912,"Abbas,M., Al-Sayah,O.M., Andersen,R.L.H., Bergmann,J.E., Bova,E., Brown,M.E., Bubb,C.A., Burke,A.C., Callaghan,L.J., Cen,M., Choy,S., Cooney,E.A., Costea,E.M., Dean,S.N., DeRose,A., Dusenberry,H.A., English,J.H., Evans,K.M., Ganiere,N.C., Gidwani,K.N., Giroski,J.N., Golden,E.M., Gonzalez,D., Graham,A.P., Guo,Y., Hua,K.S., Huynh,L.M., Isaac,D.M., Karmazyn,C.B., Keith,A.M., Khattri,M.R., Khieu,A.S., Khripkova,S.C., Kim,J.W., Lane,S.C., Lascola,A.T., Loui,A.O., Lux,A.T., Mannino,A.M., Marcinko,M.S., Martin,A., Marvil,H.G., May,R.M., Mihalic,J.A., Mullen,A.E., Neal,C.V., Neal,M.A., Ortiz,G., Patel,R.U., Pathapadu,A.S., Pellegrino,J., Perks,C.M., Peschel,J.L., Peters,W.T., Plenty,T.M., Ramnath,S.P., Ranatunga,R.N., Reed,E.A., Rockhill,M.J., Rupp,J.S., Salmon,W.P., Santora,M.A., Satcho,E.S., Sathasivam,A., Schartner,A.G., Sergi,R., Shannon,L.C., Shay,K.-I.J., Steinmetz,E.L., Stern,A.M., Vanacore,A.D., Xu,K., Grousd,J.A., Warner,M.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Blino,dsDNA,54168,"USA: Pittsburgh, PA",PA,Gordonia terrae,,2019-09-01
NC_055913,"Miller,D., Mossel,A., Broussard,G.W.",2021-06-02T00:00:00Z,,Vibrio phage Gary,dsDNA,128602,USA,,Vibrio harveyi,,2018-07
NC_055914,"Ismail,A., Veeramachaneni,S., Freeman,H., Crow,L., Johnson,A.",2021-06-02T00:00:00Z,,Bacillus phage Thornton,dsDNA,26319,"USA: Richmond, VA",VA,Bacillus thuringiensis serovar kurstaki,,2017-08-28
NC_055915,"Hoetzinger,M., Nilsson,E., Holmfeldt,K.",2021-06-02T00:00:00Z,,Flavobacterium phage vB_FspM_immuto_2-6A,dsDNA,160410,Sweden,,Flavobacterium sp. LMO8,,2016-06-04
NC_055916,"Liu,A.A., Ma,F.F.",2021-06-02T00:00:00Z,,Staphylococcus phage LSA2366,dsDNA,17056,,,Staphylococcus aureus,,
NC_055917,"Brown,N.J., Benedetto,N.J., Temple,L.M.",2021-06-02T00:00:00Z,,Bacillus phage WhyPhy,dsDNA,18642,USA,,Bacillus pumilus SAFR-032,,2014-09-01
NC_055918,"Adkins,J.M., Alame,N.W., Araujo,N.S., Barry,D.R., Bauer,H.L., Bradford,C.E., Brotman,H.R., Burns,E.M., Buzzelli,M.D., Carp,E.J., Chee,S.B., Collins,M.F., Conover,M., Cummings,J.D., Davis,J., Delaney,B.T., Dingus,R.L., Dugan,G.R., Dunne,C.T., Duque,M.B., Elliot,A.P., Frye,E.K., Galolo,K.M., Garton,K.N., Gauza,S.A., Gottschalk,C.J., Guinand,F.M., Hajibegli,N.H., Hartnett,M.K., Helmann,J.S., High,E.M., Hope,A.S., Hudack,J.B., Iyer,S.V., Jimenez,I.E., Kamal,N., Kinder,A.L., Klevins,C.T., Leosk,K.S., Liu,H., McDougal,R.K., Orr,E.C., Patel,P.A., Peterman,J.R., Pham,A.T., Pham,V.A., Poudel,K., Pribaldi,J.A., Quainoo,C.A., Rieck,M.N., Roberts,C.J., Rowe,A.G., Rubenstein,R.D., Runk,B.S., Sawyer,M.A., Scott,N.C., Shackleford,A.R., Spain,M.A., Splisgardt,G.I., Stadsklev,R.A., Steele,C.E., Steele,B.R., Stephens,S.E., Stevens,M.C., Swarm,H.V., Thai,R.H., Thomas,S.D., Tolley,J.E., Tran,V.L., Turner,M., Vaden,T.J., Villar,N.M., Vonah,M.R., Voshell,S.M., Wallace,L.A., Williams,B.L., Yi,H., Yoon,J., Yu,Z., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Mycobacterium phage OhShagHennessy,dsDNA,72623,"USA: Blacksburg, VA",VA,Mycolicibacterium smegmatis MC2 155,,2019-08-28
NC_055919,"Li,S., Lin,Y.",2021-06-02T00:00:00Z,,Klebsiella phage vB_KpnP_P184,dsDNA,76617,,,Klebsiella pneumoniae,,
NC_055920,"Dennis,E.A., Alston,T.C., Buckley,J.R., Cao,N.T., Cole,K.B., Davis,H.C., Fisher,D.E., Jennings,A.R., Litwin,A.R., McCartney,J.B., Mitchell,K.E., Nasser,J.B., Paudel,P., Richoux,S.A., Sisung,K.L., Smith,M.L., Sonnier,C.R., Underwood,K.G., Hunter,C.W., Gottschalck,B.A., Wiggina,Z.F., Hancock,A.M., Gissendanner,C.R., Findley,A.M., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2021-06-02T00:00:00Z,,Gordonia phage Phlop,dsDNA,58358,"USA: Monroe, LA",LA,Gordonia terrae,,2019-10-01
NC_055921,"Shang,Y.",2021-06-02T00:00:00Z,,Salmonella phage vB_SalP_TR2,dsDNA,70823,,,Salmonella enterica subsp. enterica serovar Albany,,
NC_040794,"Yasaki,M., Hirano,Y., Uga,H., Hanada,K., Uehara-Ichiki,T., Toda,T., Furuya,H., Fuji,S.I., Uehara,I.T., Fuji,S.",2021-06-01T00:00:00Z,HSP-2,Adonis mosaic virus,ssRNA(+),3991,"Japan:Saitama, Ogawa",,Adonis ramosa,,
NC_055107,"Vaira,A.M.",2021-06-01T00:00:00Z,Fr220205/9,Freesia sneak ophiovirus,ssRNA(-),1456,Italy,,Freesia,,
NC_055108,"Zylberberg,M., Van Hemert,C., Dumbacher,J.P., Handel,C.M., Tihan,T., DeRisi,J.L.",2021-06-01T00:00:00Z,,Poecivirus A,ssRNA(+),7653,USA: Alaska,AK,Poecile atricapillus,,2002-12-02
NC_055109,"Falabella,P., Varricchio,P., Gigliotti,S., Tranfaglia,A., Pennacchio,F., Malva,C.",2021-06-01T00:00:00Z,,Cardiochiles nigriceps bracovirus,dsDNA,613,,,Toxoneuron nigriceps,,
NC_055110,"Varricchio,P., Falabella,P., Sordetti,R., Graziani,F., Malva,C., Pennacchio,F., Malva,C.P.",2021-06-01T00:00:00Z,,Cardiochiles nigriceps bracovirus,dsDNA,467,,,Toxoneuron nigriceps,,
NC_055111,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T00:00:00Z,,Shuangao anphevirus,ssRNA(-),6275,China,,Psychoda alternata,,2013
NC_055112,"Fauver,J.R., Grubaugh,N.D., Krajacich,B.J., Weger-Lucarelli,J., Lakin,S.M., Fakoli,L.S. Jr., Bolay,F.K., Diclaro,J.W. Jr., Dabire,K.R., Foy,B.D., Brackney,D.E., Ebel,G.D., Stenglein,M.D., Fauver,J.",2021-06-01T00:00:00Z,,Bolahun anphevirus,ssRNA(-),11672,Liberia,,Anopheles gambiae,pooled insects,2013
NC_055113,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Odonate peropuvirus,ssRNA(-),6367,China,,Odonata,,2013
NC_055114,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Hubei peropuvirus,ssRNA(-),8436,China,,Odonata,,2013
NC_055115,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2021-06-01T00:00:00Z,,Pillworm peropuvirus,ssRNA(-),7043,China,,Myriapoda,,2013
NC_055116,"Liu,Y., Brandt,D., Ishino,S., Ishino,Y., Koonin,E.V., Kalinowski,J., Krupovic,M., Prangishvili,D.",2021-06-01T00:00:00Z,,Alphaportoglobovirus SPV2,dsDNA,20424,Japan,,Sulfolobus,,2016-09-10
NC_055117,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,ssRNA(-),978,USA: California,CA,Ochlerotatus dorsalis,,1943
NC_055118,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,ssRNA(-),4510,USA: California,CA,Ochlerotatus dorsalis,,1943
NC_055119,,2021-06-01T00:00:00Z,,California encephalitis orthobunyavirus,ssRNA(-),6978,USA: California,CA,Ochlerotatus dorsalis,,1943
NC_055120,"Blake,S., Ma,J.Y., Caporale,D.A., Jairath,S., Nicholson,B.L., Ma,J.-Y., Caporale,D., Nicholson,B.",2021-06-01T00:00:00Z,,Tellina virus,dsRNA,2904,,,,,
NC_055121,"Tang,H.-B., Jiang,J., Wu,J.",2021-06-01T00:00:00Z,FJ01,Rodent associated circovirus 7,ssDNA(+/-),2112,China: Fujian,,Rhizomys pruinosus,,2014-06
NC_055122,"Zhu,A., He,B., Tu,C.",2021-06-01T00:00:00Z,Mengyuan2,Bat associated circovirus 11,ssDNA(+/-),1761,China,,Hipposideros armiger,,2011
NC_055123,"Liu,H.H., Liu,Q.",2021-06-01T00:00:00Z,hlj-Ic.518,Tick associated circovirus 2,ssDNA(+/-),1812,China: Heilongjiang,,,,
NC_055124,"Ueda,S., Onuki,M., Hanada,K., Takanami,Y.",2021-06-01T00:00:00Z,Myz,Tomato leaf curl Japan virus,ssDNA(+/-),2759,Japan: Miyazaki,,Solanum lycopersicum,,2001
NC_055125,"Tomaru,Y., Toyoda,K., Kimura,K., Takao,Y., Nakayama,N., Nagasaki,K.",2021-06-01T00:00:00Z,Csp02RNAV01,Chaetarnavirus 2,ssRNA(+),9417,"Japan:Kumamoto, Yatsushiro Sea",,Chaetoceros sp.,,2009-03
NC_055126,"Monger,W.A., Mumford,R., Kelly,P.",2021-06-01T00:00:00Z,,Tomato leaf curl New Delhi virus 5,ssDNA(+/-),2738,Bangladesh,,Cucumis sativus,plant leaf,
NC_055127,"Tiendrebeogo,F., Lefeuvre,P., Hoareau,M., Harimalala,M.A., Villemot,J., Traore,V.S.E., Konate,G., Traore,A.S., Barro,N., Reynaud,B., Traore,O., Lett,J.M.",2021-06-01T00:00:00Z,BF:Oua:BF127:08,African cassava mosaic Burkina Faso virus,ssDNA(+/-),2737,Burkina Faso:Ouagadougou,,Manihot esculenta,,2008
NC_055128,"Tiendrebeogo,F., Lefeuvre,P., Hoareau,M., Harimalala,M.A., Villemot,J., Traore,V.S.E., Konate,G., Traore,A.S., Barro,N., Reynaud,B., Traore,O., Lett,J.M.",2021-06-01T00:00:00Z,BF:Oua:BF127:08,African cassava mosaic Burkina Faso virus,ssDNA(+/-),2770,Burkina Faso:Ouagadougou,,Manihot esculenta,,2008
NC_055129,"Dombrovsky,A., Glanz,E., Lachman,O., Sela,N., Doron-Faigenboim,A., Antignus,Y., Pearlsman,M.",2021-06-01T00:00:00Z,Is,Pepper vein yellows virus 2,ssRNA(+),6028,Israel,,Capsicum annuum,,2002-10
NC_055130,"Parvathy,K., Angappan,K., Malathi,V.G., Richa,S., Jyothsna,P., Jeevalatha,A., Nirmal Kumar,R.",2021-06-01T00:00:00Z,,Chilli leaf curl Bhavanisagar virus,ssDNA(+/-),2785,India: Tamil Nadu,,Capsicum,,2010
NC_055131,"Senanayake,D.M., Mandal,B., Jayasinghe,J.E., Wasala,S.K.",2021-06-01T00:00:00Z,CL-14,Chilli leaf curl Sri Lanka virus,ssDNA(+/-),2754,Sri Lanka: Nochchiyagama,,Capsicum,,2009-11
NC_055132,"Tsai,W.S., Shih,S.L., Lee,L.M., Dolores,L.M., Kenyon,L.",2021-06-01T00:00:00Z,W1,Blechum yellow vein virus,ssDNA(+/-),2764,Philippines,,Ruellia blechum,,2012-02-20
NC_055133,"Swarnalatha,S., Venkataravanappa,V., Jalali,S., Krishnareddy,M.",2021-06-01T00:00:00Z,TC289,Tomato leaf curl Karnataka virus 2,ssDNA(+/-),2772,"India: Sonipet, Hariyana",,Solanum lycopersicum,plant leaf,2010-12-02
NC_055134,"Swarnalatha,P., Venkataravanappa,V., Jalali,S., KrishnaReddy,M.",2021-06-01T00:00:00Z,TC235,Tomato leaf curl Karnataka virus 3,ssDNA(+/-),2757,"India: Rauke, Punjab",,Solanum lycopersicum,plant leaf,2009-08-19
NC_055135,"Bruce,A.G., Ryan,J.T., Thomas,M.J., Peng,X., Grundhoff,A., Tsai,C.C., Rose,T.M.",2021-06-01T00:00:00Z,RFHVMnM78114,Macacine gammaherpesvirus 8,dsDNA,127320,USA,,Macaca nemestrina,,1995
NC_055136,"Khan,Z.A., Khan,J.A.",2021-06-01T00:00:00Z,India/Gonda/chilli/2013,Chilli leaf curl Gonda virus,ssDNA(+/-),2760,India: Gonda,,Capsicum,plant leaf,2013-04
NC_055137,"Okland,A.L., Nylund,A., Overgard,A.C., Blindheim,S., Watanabe,K., Grotmol,S., Arnesen,C.E., Plarre,H., Okland,A.",2021-06-01T00:00:00Z,LSRV-No9,Salmonlouse caligrhavirus,ssRNA(-),11681,Norway,,Lepeophtheirus salmonis,,2013-09
NC_055138,"Okland,A.L., Nylund,A., Overgard,A.C., Blindheim,S., Watanabe,K., Grotmol,S., Arnesen,C.E., Plarre,H., Okland,A.",2021-06-01T00:00:00Z,LSRV-No127,Lepeophtheirus caligrhavirus,ssRNA(-),11519,Norway,,Lepeophtheirus salmonis,,2013-09
NC_055139,"Bellehumeur,C., Nielsen,O., Measures,L., Harwood,L., Boyle,B., Gagnon,C.A.",2021-06-01T00:00:00Z,FMV04-1493874,Phocid gammaherpesvirus 3,dsDNA,117276,Canada,,Phoca groenlandica,blood,2004-07-07
NC_055140,"Swarnalatha,P., Venkatravanappa,V., Jalali,S., Krishna Reddy,M.",2021-06-01T00:00:00Z,TC101,Tomato severe leaf curl Kalakada virus,ssDNA(+/-),2755,"India: Kalakada, Andhra Pradesh",,Solanum lycopersicum,plant leaf,2007-09-19
NC_055141,"Rose,T.M., Bruce,A.G.",2021-06-01T00:00:00Z,,Macacine gammaherpesvirus 12,dsDNA,129492,USA,,Macaca nemestrina,,2002-09
NC_055142,"Kamperschroer,C., Gosink,M.M., Kumpf,S.W., O'Donnell,L.M., Tartaro,K.R.",2021-06-01T00:00:00Z,pfe-lcl-E3,Macacine gammaherpesvirus 10,dsDNA,154158,USA,,Macaca fascicularis,,2012
NC_055143,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,RsAG2,Rhizoctonia magoulivirus 1,ssRNA(+),2792,USA,,Rhizoctonia solani,,2013-06-01
NC_055144,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,334,Sclerotinia scleroulivirus 1,ssRNA(+),3180,USA,,Sclerotinia sclerotiorum,,2013-06-01
NC_055145,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Hobbs,H.A., Ajayi,O.O., Bradley,C.",2021-06-01T00:00:00Z,291,Sclerotinia botoulivirus 2,ssRNA(+),2333,USA,,Sclerotinia sclerotiorum,,2013-06-01
NC_055146,"Jamsari,J., Ferita,I., Noverta,A., Husada,E.D., Herberg,F.W., Nellen,W., Syukriani,L.",2021-06-01T00:00:00Z,PSSWS-14,Pepper yellow leaf curl Indonesia virus 2,ssDNA(+/-),2748,Indonesia,,Capsicum annuum,,2009-09-15
NC_055147,,2021-06-01T00:00:00Z,ET2121,Tigray orthohantavirus,ssRNA(-),6532,Ethiopia,,Stenocephalemys albipes,"liver, abdominal cavity",2010-10-10
NC_055148,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtRs-CV/YN2013,Rodent associated cyclovirus 2,ssDNA(+/-),1758,China,,Rattus tanezumi sladeni,,2013-07
NC_055149,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtNe-CV/YN2013,Rodent associated circovirus 5,ssDNA(+/-),2080,China,,Niviventer eha,,2013-07
NC_055150,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtRf-CV-2/YN2013,Rodent associated cyclovirus 1,ssDNA(+/-),1753,China,,Rattus flavipectus,,2013-07
NC_055151,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtAs-CV/IM2014,Rodent associated circovirus 4,ssDNA(+/-),2151,China,,Orientallactaga sibirica,,2014-05
NC_055152,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtMc-CV-1/Tibet2014,Rodent associated circovirus 1,ssDNA(+/-),2134,China,,Neodon clarkei,,2014-12
NC_055153,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtAd-CV/SAX2015,Rodent associated circovirus 6,ssDNA(+/-),1674,China,,Apodemus draco,,2015-06
NC_055154,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtMc-CV-2/Tibet2014,Rodent associated circovirus 3,ssDNA(+/-),2135,China,,Neodon clarkei,,2014-12
NC_055155,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtAc-CV-2/GZ2015,Rodent associated circovirus 2,ssDNA(+/-),2120,China,,Apodemus chevrieri,,2015-12
NC_055156,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T00:00:00Z,RtMp-PicoV/YN2014,Rabovirus B,ssRNA(+),7278,China,,Rodentia,,
NC_055157,"Romay,G., Chirinos,D.T., Geraud-Pouey,F., Gillis,A., Mahillon,J., Desbiez,C., Bragard,C.",2021-06-01T00:00:00Z,Trujillo-427a,Tomato wrinkled mosaic virus,ssDNA(+/-),2637,Venezuela,,Solanum lycopersicum,,2006-01-04
NC_055158,"Romay,G., Chirinos,D.T., Geraud-Pouey,F., Gillis,A., Mahillon,J., Desbiez,C., Bragard,C.",2021-06-01T00:00:00Z,Trujillo-427b,Tomato wrinkled mosaic virus,ssDNA(+/-),2584,Venezuela,,Solanum lycopersicum,,2006-01-04
NC_055159,"Naoi,Y., Kishimoto,M., Masuda,T., Ito,M., Tsuchiaka,S., Sano,K., Yamasato,H., Omatsu,T., Aoki,H., Furuya,T., Katayama,Y., Oba,M., Okada,T., Shirai,J., Mizutani,T., Nagai,M.",2021-06-01T00:00:00Z,,Tottorivirus A,ssRNA(+),7062,Japan: Tottori,,Sus scrofa domesticus,,2015
NC_055160,"Willams,S.H., Che,X., Garcia,J.A., Klena,J.D., Lee,B., Muller,D., Ulrich,W., Corrigan,R.M., Nichol,S., Jain,K., Lipkin,W.I., Williams,S.H.",2021-06-01T00:00:00Z,MPV/NYC/2014/M005/0074,Rabovirus D,ssRNA(+),7112,USA,,Mus musculus,feces,2014-08-15
NC_055161,"Zhang,W., Yang,S., Shan,T., Hou,R., Liu,Z., Li,W., Guo,L., Wang,Y., Chen,P., Wang,X., Feng,F., Wang,H., Chen,C., Shen,Q., Zhou,C., Hua,X., Cui,L., Deng,X., Zhang,Z., Qi,D., Delwart,E.",2021-06-01T00:00:00Z,,Ailurivirus A,ssRNA(+),8029,China,,,feces,2015
NC_055162,"Gedvilaite,A., Ulrich,R., Calvignac-Spencer,S., Ehlers,B.",2021-06-01T00:00:00Z,GER_#4608_MU/06/0215/MV,Sorex araneus polyomavirus 1,dsDNA,5095,Germany,,Sorex araneus,spleen,
NC_055163,"Gedvilaite,A., Ulrich,R., Calvignac-Spencer,S., Ehlers,B.",2021-06-01T00:00:00Z,#7586_MU08/1013,Sorex coronatus polyomavirus 1,dsDNA,5090,Germany,,Sorex coronatus,"spleen, abdominal cavity",
NC_055164,"Gedvilaite,A., Ulrich,R., Calvignac-Spencer,S., Ehlers,B.",2021-06-01T00:00:00Z,GER_#7607_MU10/2265,Sorex minutus polyomavirus 1,dsDNA,5096,Germany,,Sorex minutus,"spleen, abdominal cavity",
NC_055165,"Qiu,L., Chen,M.M., Wang,R.Y., Wan,X.Y., Li,C., Zhang,Q.L., Dong,X., Yang,B., Xiang,J.H., Huang,J., Cheng,D.Y., Wang,X.H.",2021-06-01T00:00:00Z,20141215,Decapod iridescent virus 1,dsDNA,165809,China,,Penaeus,,2014-12-15
NC_055166,"Davison,A.J., Nielsen,O., Subramaniam,K., Jacob,J.M., Romero,C.H., Burek-Huntington,K.A., Waltzek,T.B.",2021-06-01T00:00:00Z,,Monodontid alphaherpesvirus 1,dsDNA,144144,"USA: Alaska, Bristol Bay",AK,Delphinapterus leucas,,2008-09-23
NC_055167,"Alkhovsky,S., Butenko,A., Eremyan,A., Shchetinin,A., Alkhovsky,S.V., Shchetinin,A.M.",2021-06-01T00:00:00Z,,Myodes narmovirus,ssRNA(-),16992,Russia: Bashkiria,,Myodes glareolus,kidney,1973
NC_055168,"Vanmechelen,B., Laenen,L., Vergote,V., Lopes,A., Korva,M., Avsic Zupanc,T., Maes,P.",2021-06-01T00:00:00Z,TT02/05,Myodes jeilongvirus,ssRNA(-),20148,Slovenia,,Myodes glareolus,,2016-08
NC_055169,"Shi,M., Lin,X.D., Chen,X., Tian,J.H., Chen,L.J., Li,K., Wang,W., Eden,J.S., Shen,J.J., Liu,L., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Tian,J.-H., Chen,L.-J., Eden,J.-S., Shen,J.-J., Zhuang,Y.-Z.",2021-06-01T00:00:00Z,,Sharpbelly cultervirus,ssRNA(-),8989,China,,Hemiculter leucisculus,,
NC_055170,,2021-06-01T00:00:00Z,,Gecko reptillovirus,ssRNA(-),6627,China,,Hemidactylus bowringii,,
NC_055171,,2021-06-01T00:00:00Z,,Batfish actinovirus,ssRNA(-),5301,China,,Halieutaea stellata,,
NC_055172,,2021-06-01T00:00:00Z,,Goosefish actinovirus,ssRNA(-),6403,China,,Lophius litulon,,
NC_055173,,2021-06-01T00:00:00Z,,Spikefish actinovirus,ssRNA(-),6305,China,,Triacanthodes anomalus,,
NC_055174,,2021-06-01T00:00:00Z,,Hagfish agnathovirus,ssRNA(-),6761,China,,Eptatretus burgeri,,
